"","condition","participant_id","wave","surveyed_after_yoga_session","sex","age","z_self_centrality","z_better_than_average","z_exp_better_than_average","z_communal_narcissism","z_self_esteem","z_g_factor","z_g_factor_well_being","z_grouped_self_centrality","z_grouped_g_factor","z_grouped_g_factor_well_being","z_grouped_communal_narcissism","z_grouped_self_esteem","z_grouped_better_than_average"
"143",1,"58",2,1,1,"62",-1.39238690430055,-1.08634828927602,-0.863313749504254,-0.907881859848759,-0.919641956493643,-1.20080611644563,-1.18510904235526,-0.299832570877431,-0.304544840799251,-0.0396994513079143,-0.120203024658035,-0.385277077647831,-0.0174789726969622
"144",0,"57",4,0,1,"46",-0.911260220799561,NA,NA,-0.219446354989106,0.676505936618798,0.399050096399422,-0.0992074640025,-0.475897045636852,0.815749619408589,1.6248689543697,NA,NA,NA
"145",0,"39",6,0,1,"27",0.0300745947458599,-0.492063217579306,-0.390562868579816,0.0428147897193333,-1.30491903414147,-0.95260773142014,-0.441371776974487,0.535514917288062,-0.303821320762126,0.0955330333198905,0.0852348720302428,-0.539387908706963,0.0838990689454183
"146",0,"129",9,0,1,"25",0.406608520964028,0.748943843905006,1.69742018883645,-0.0719244610906088,-0.424285713803575,-0.132967172559634,0.705916831746657,0.251022617478779,0.289336245937578,0.845102503617375,0.196695858531329,0.0275197912605593,0.856469662151145
"147",0,"49",10,0,1,"51",0.804060998638762,1.41314480638957,1.69742018883645,0.878772188477484,1.11682259678775,1.40203837342485,1.5155392212445,0.716460387387349,0.582310909918666,0.360069083877492,0.563451678084538,0.460956503614369,0.266554333628673
"148",1,"130",10,1,1,"52",-0.179110919819789,0.993649461662476,0.160979825832029,-0.0883157826348863,-1.52507736422595,-0.809708717686268,0.93334728839114,0.0139457009710433,-0.30893451004713,0.327525266142821,-0.0382464169366474,-0.568742352718226,0.355405778171564
"149",1,"102",12,1,1,"56",1.59896595398823,0.45180130805665,0.870106147218686,1.02629408237598,0.841624684182154,1.05822736065615,0.638126064522186,0.251022617478779,-0.448665213286388,-0.797167081253273,-0.147521893898497,-0.311890967619672,-0.8156853925249
"150",1,"65",4,1,1,"19",0.532119829703418,-0.299794517912723,-1.09968918996647,2.22286055510823,-0.0390086361557446,0.767650390434573,0.161086857128364,NA,NA,NA,NA,NA,NA
"151",0,"43",8,0,1,"64",0.762223895725632,1.01112843435944,-0.981501469735363,-2.08805701103674,-0.479325296324694,-0.887525076720017,0.563386282057476,0.462822950976499,0.0343288571687533,0.202329583629244,-0.444614596888526,0.206398434454195,0.305882022196837
"152",0,"75",9,0,1,"20",0.11374880057212,0.29449055378399,-0.390562868579816,-0.317794284254771,0.016030946365374,-0.0409805204172117,0.230151358506638,-0.0627556543696947,-0.133330423314925,-0.216818711993566,-0.0778587773353179,-0.082559373781678,-0.214117415537786
"153",1,"128",9,1,1,"40",0.009156043289295,0.801380761995892,-1.4542523506598,-0.432533535064713,-0.0940482186768633,-0.0423077989901919,0.685646163998523,0.12551130873939,-0.107470515580306,0.310104799516944,-0.270456805480578,-0.137598956302797,0.384537399333167
"154",1,"13",11,1,1,"21",-0.702074706233912,-0.282315545215761,-0.114791521373893,0.0428147897193333,-0.204127383719101,-0.178575733447469,-0.24371640462327,-0.261481893207061,-0.680904285722044,-0.549407843845554,-0.946598819182023,-0.343997390756992,-0.388907142507408
"155",0,"137",11,0,1,"58",0.511201278246853,0.259532608390066,-0.587542402298331,-1.38323018463281,0.291228858970967,-0.278550507163945,-0.0086772582944443,-0.188266963109084,-0.104745536115045,-0.156901417287761,0.409783038606936,-0.311890967619672,-0.250531941989791
"156",1,"25",3,1,1,"24",0.553038381159983,-0.457105272185382,-1.02089737647907,-2.38310079883373,-1.47003778170483,-1.9897298277204,-0.877215924175902,0.345156099033321,-0.429114095220456,-0.382323887539895,0.0245869823164164,-0.522876033950627,-0.410755858378611
"157",1,"43",4,1,1,"64",0.720386792812502,0.574154116935385,-0.784521936016847,-1.39962150617708,0.016030946365374,-0.394694181897306,0.284638322467111,0.420985848063369,0.527159751991464,-0.0764183759611202,0.243820907971127,0.701754677144263,-0.131092295227216
"158",0,"82",10,0,1,"20",0.448445623877158,0.346927471874877,-0.863313749504254,-1.46518679235419,-1.91035444187378,-1.74267002622097,0.0578417580255465,-0.230104066022214,-0.110873027652529,-0.439653450166891,-0.655652861771098,0.330237495126712,-0.332100481242281
"159",0,"100",10,0,1,"45",-0.597481948951088,0.679027953117157,-0.94210556299166,-1.07179507529153,0.18114969392873,-0.135343170561688,0.446815563948119,-0.0627556543696948,-0.0369980557157023,0.0700044318113808,-0.31963077011341,0.082559373781678,0.139831781575697
"160",0,"106",12,0,1,"56",0.0300745947458599,-0.614416026458041,-0.232979241605003,0.173945362073553,0.0710705288864927,-0.0221393919148053,-0.531330922057204,-0.711230749523207,0.470721308805718,-0.149033894517061,0.102445759651734,0.715514572774543,-0.179159470143862
"161",1,"34",6,1,1,"21",-0.0745181625369647,-0.090046845549177,-0.429958775323519,0.665685008401877,0.016030946365374,0.25086930814522,0.0578318417789365,-0.371304288354027,0.357224151930244,0.232813086433654,0.458957003239769,0.220158330084475,0.152941011098419
"162",1,"70",9,1,1,"21",0.594875484073113,-0.177441709033988,1.14587749442461,-0.350576927343326,0.126110111407611,-0.0886115094310165,-0.22090818481414,0.020918551456565,0.00151615689593915,-0.0335764542614546,0.0819566077213872,-0.0275197912605593,-0.0524369180908864
"163",1,"101",9,1,1,"30",-1.18320138973491,0.416843362662725,1.26406521465572,-0.907881859848759,-1.9653940243949,-1.54797553939989,0.231421126161797,0.271941168935344,-0.0155348421788348,0.265757135929182,0.139326233126358,-0.192638538823915,0.253445104105951
"164",1,"57",3,1,1,"46",0.0719116976589897,-1.06886931657906,NA,-0.530881464330378,1.2819413443511,0.401082193957423,-1.09578577272478,0.507274872821699,0.817781716966589,0.628290645647414,NA,NA,NA
"165",1,"11",4,1,1,"20",0.762223895725632,1.34322891560172,1.77621200232386,0.665685008401877,1.17186217930887,1.34017756385341,1.40847688617892,0.3221456924311,0.437307133790144,0.207158202296891,-0.0360609073974104,0.605435407732305,0.227226645060508
"166",0,"39",11,0,1,"27",-0.681156154777347,-0.387189381397534,-0.390562868579816,0.223119326706385,-0.259166966240219,-0.169218006453227,-0.307701835380909,-0.175715832235145,0.479568404204788,0.229202974913468,0.265539409017295,0.506364159194292,0.188772905127191
"167",1,"146",11,1,1,"40",1.74539581418418,0.504238226147536,-0.94210556299166,0.337858577516328,0.676505936618798,0.695584289423739,0.554505841468653,-0.094133481554542,-0.20594315560382,-0.151409998653344,0.196695858531329,-0.357757286387271,-0.201008186015065
"168",1,"39",12,1,1,"27",0.406608520964028,0.0497849360265202,0.436751173037951,0.370641220604882,0.346268441492086,0.38675646261035,0.132587490238222,0.91204884350623,1.03554287326836,0.6694923005326,0.413061302915792,1.1117995669266,0.625747222551245
"169",1,"127",12,1,1,"58",1.11783927048724,1.13348124323817,-0.666334215785738,0.436206506781992,0.676505936618798,0.877004890858788,1.16647682511392,0.355615374761604,0.277555250670949,0.204834856402541,0.0655652861771098,0.311890967619672,0.203921348131225
"170",1,"22",2,1,1,"26",0.573956932616548,1.15096021593514,1.0276897741935,0.124771397440721,0.456347606534323,0.615565407517972,1.12276602860306,0.12551130873939,0.045611400958026,0.274310714169936,-0.114739250809942,0.0275197912605593,0.314621508545319
"171",1,"46",3,1,1,"71",0.929572307378151,NA,NA,NA,0.731545519139917,0.667225450403844,NA,0.0488099533986515,0.531215538955866,NA,NA,0.587088880225266,NA
"172",0,"38",5,0,1,"19",0.239260109311509,0.242053635693104,-1.4542523506598,-1.20292564764575,0.676505936618798,0.0412170641428155,0.00969371609425698,0.141200222331813,0.431804789290278,0.0152044882480923,-0.0491739646328324,0.674234885883704,0.0262184590454432
"173",1,"43",5,1,1,"64",0.11374880057212,0.69650692581412,-0.863313749504254,-1.20292564764575,-0.974681539014762,-0.944481005657357,0.437947022855227,-0.185652144177014,-0.0226270717685872,0.0768903244269956,0.440516766502457,-0.288957808235873,-0.0087394863484811
"174",1,"43",6,1,1,"64",0.260178660768074,0.958691516268552,-1.02089737647907,-1.98970908177107,-0.919641956493643,-1.15201199058386,0.532977305561291,-0.0392222839810592,-0.230158056695087,0.17192060713306,-0.346266667622861,-0.233918225714754,0.253445104105951
"175",1,"13",9,1,1,"21",0.281097212224639,-0.457105272185382,0.633730706756467,1.14103333318592,0.566426771576561,0.713721198334468,-0.196208204642865,0.72169002525149,0.211392646059893,-0.501899643865149,0.151619724284566,0.42655676453867,-0.563696869477029
"176",1,"144",9,1,1,"22",0.343852866594334,0.346927471874877,0.436751173037951,-0.0227504964577765,0.0710705288864927,0.121143058605367,0.336579801369301,0.432316730102342,-0.611736420855901,-0.0544790309631854,-0.622870218682543,-0.587088880225266,0.0699158907878486
"177",1,"127",10,1,1,"58",-0.0117625081672699,0.504238226147536,-0.705730122529441,0.0428147897193333,0.731545519139917,0.61803731630947,0.497491241693794,-0.773986403892902,0.018587676121631,-0.464150727017589,-0.327826430885549,0.366930550140791,-0.425321668959412
"178",1,"128",11,1,1,"40",-0.241866574189484,0.032305963329558,-0.232979241605003,0.108380075896443,0.18114969392873,0.17263323217042,0.0654365649646352,-0.12551130873939,0.107470515580306,-0.310104799516944,0.270456805480578,0.137598956302797,-0.384537399333167
"179",1,"134",12,1,1,"71",0.134667352028684,NA,NA,NA,0.016030946365374,0.0198065123013821,NA,-0.278914019420866,-0.182605341516079,NA,NA,-0.201811802577435,NA
"180",1,"23",2,1,1,"19",-0.555644846037958,-2.17004459648767,-1.37546053717239,0.288684612883495,1.00674343174551,0.284731317547689,-1.97510258930517,0.0418371029131299,-0.0192281384630504,-0.800757814903596,0.0327826430885549,0.247678121345034,-0.856469662151145
"181",1,"50",2,1,1,"18",0.511201278246853,-0.509542190276269,-1.33606463042869,0.682076329946154,-1.24987945162036,-0.673591377616899,-0.334311425158227,-0.125511308739389,-0.92645396276928,-0.0600250919263907,-0.0122934911582081,-1.37598956302797,-0.0611764044393675
"182",0,"23",3,0,1,"19",-0.639319051864217,-0.457105272185382,-0.626938309042035,0.223119326706385,0.511387189055442,0.32318759447379,-0.373586959497981,-0.0418371029131298,0.0192281384630504,0.800757814903596,-0.0327826430885549,-0.247678121345034,0.856469662151145
"183",1,"57",5,1,1,"46",-0.409214985842003,-1.0513903438821,NA,-0.498098821241823,0.786585101661035,0.0909240652248248,-1.07297953616497,0.0261481893207062,0.507623588233991,0.651096882207223,NA,NA,NA
"184",0,"31",9,0,1,"23",-0.0535996110803998,-1.24365904354868,0.55493889326906,-0.203055033444828,-0.919641956493643,-0.964680379299189,-1.19714902771206,-0.0836742058262597,-0.110268198854606,-0.110626987082336,0.0348315582815896,-0.144478904117936,-0.124537680465855
