"","subid","groupnr","condition","subage","subgender","feel_interested","feel_distressed","feel_excited","feel_upset","feel_strong","feel_guilty","feel_scared","feel_hostile","feel_enthusiastic","feel_proud","feel_irritable","feel_alert","feel_ashamed","feel_inspired","feel_nervous","feel_determined","feel_attentive","feel_jittery","feel_active","feel_afraid","task_threatening","task_fearful","task_enjoyable","task_worrying","task_hostile","task_challenging","task_stimulating","task_exhilarating","task_painful","task_depressing","task_pitiful","task_informative","task_exciting","task_frightening","task_terrifying","task_intolerable","task_intense","task_unpleasant","cooperation","lottery1","lottery2","lottery3","lottery4","lottery5","lottery6"
"65","MVB",45,0,25,0,4,1,2,1,1,1,1,1,5,3,1,5,2,4,2,4,5,2,5,1,3,2,4,2,1,5,5,4,1,1,1,5,4,1,1,1,1,5,5.5,4,5,6,7,6,5
"66","MVC",45,0,24,0,2,2,1,3,3,1,4,1,1,2,4,1,4,1,4,2,4,5,4,3,1,1,3,4,3,5,2,3,3,5,3,3,2,1,1,3,5,4,5.5,5,6,6,5,5,6
"67","MWA",46,0,27,0,4,1,3,3,3,1,3,1,4,4,1,4,1,4,4,5,5,3,4,2,1,1,3,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,2,2
"68","MWB",46,0,22,0,4,1,4,1,3,1,1,1,3,3,1,3,1,2,3,3,4,2,3,1,2,3,2,2,1,4,2,2,1,2,1,2,3,2,1,1,1,2,4.16666666666667,5,6,6,2,2,4
"69","MWC",46,0,28,0,3,1,4,5,4,1,1,1,3,3,1,1,1,4,1,4,5,1,5,1,1,1,3,3,1,5,4,4,1,1,1,3,4,1,1,1,1,1,3.16666666666667,3,6,1,1,7,1
"70","MXA",49,0,27,1,2,1,1,1,3,1,2,1,2,2,1,4,2,4,3,3,4,2,3,1,1,2,4,2,1,4,4,3,1,1,1,4,2,1,1,1,1,2,2.16666666666667,3,2,4,2,1,1
"71","MXB",49,0,21,0,4,2,4,3,1,1,3,1,4,4,1,3,3,2,2,3,4,4,4,2,1,1,3,2,1,5,2,1,1,1,2,1,4,2,1,1,1,1,3.5,6,5,1,5,3,1
"72","MXC",49,0,20,1,4,3,3,4,2,1,2,1,2,2,3,4,3,1,4,2,4,2,2,2,3,2,2,4,2,4,4,1,1,3,2,3,2,1,2,2,2,5,3.5,7,7,3,1,2,1
"73","MYA",50,0,21,0,4,3,4,1,3,1,1,1,4,2,1,4,1,2,3,4,4,1,5,1,1,1,2,1,1,4,3,1,1,1,1,1,2,1,1,1,1,5,2.16666666666667,2,3,3,2,1,2
"74","MYB",50,0,24,1,4,1,2,3,4,1,1,1,3,4,3,2,1,3,2,4,4,1,3,1,5,1,4,2,3,5,4,4,3,2,1,5,4,1,1,2,1,2,2.33333333333333,5,4,2,1,1,1
"75","MYC",50,0,20,0,4,2,2,2,3,1,1,1,2,1,2,3,1,1,1,2,2,1,3,1,1,1,1,2,2,3,2,1,2,2,1,1,2,1,1,2,1,4,1.83333333333333,3,2,1,3,1,1
